pid,step_1_page,step_2_page,step_3_page,step_4_page,step_1_oversight_mechanism,step_2_oversight_mechanism,step_3_oversight_mechanism,step_4_oversight_mechanism
P000,page-1,page-2,page-5,page-4,R1,R2,R4,R3
P001,page-1,page-2,page-5,page-4,R1,R2,R4,R3
P002,page-2,page-4,page-1,page-5,R2,R3,R1,R4
P003,page-4,page-5,page-2,page-1,R3,R4,R2,R1
P004,page-5,page-1,page-4,page-2,R4,R1,R3,R2
P005,page-2,page-4,page-6,page-1,R1,R2,R4,R3
P006,page-4,page-1,page-2,page-6,R2,R3,R1,R4
P007,page-1,page-6,page-4,page-2,R3,R4,R2,R1
P008,page-6,page-2,page-1,page-4,R4,R1,R3,R2
P009,page-3,page-5,page-1,page-6,R1,R2,R4,R3
P010,page-5,page-6,page-3,page-1,R2,R3,R1,R4
P011,page-6,page-1,page-5,page-3,R3,R4,R2,R1
P012,page-1,page-3,page-6,page-5,R4,R1,R3,R2
P013,page-6,page-1,page-4,page-3,R1,R2,R4,R3
P014,page-1,page-3,page-6,page-4,R2,R3,R1,R4
P015,page-3,page-4,page-1,page-6,R3,R4,R2,R1
P016,page-4,page-6,page-3,page-1,R4,R1,R3,R2
P017,page-4,page-3,page-2,page-5,R1,R2,R4,R3
P018,page-3,page-5,page-4,page-2,R2,R3,R1,R4
P019,page-5,page-2,page-3,page-4,R3,R4,R2,R1
P020,page-2,page-4,page-5,page-3,R4,R1,R3,R2
P021,page-5,page-6,page-3,page-2,R1,R2,R4,R3
P022,page-6,page-2,page-5,page-3,R2,R3,R1,R4
P023,page-2,page-3,page-6,page-5,R3,R4,R2,R1
P024,page-3,page-5,page-2,page-6,R4,R1,R3,R2
P025,page-1,page-2,page-5,page-4,R1,R2,R4,R3
P026,page-2,page-4,page-1,page-5,R2,R3,R1,R4
P027,page-4,page-5,page-1,page-5,R3,R4,R2,R1
P028,page-5,page-1,page-4,page-2,R4,R1,R3,R2
P029,page-2,page-4,page-6,page-1,R1,R2,R4,R3
P030,page-4,page-1,page-2,page-6,R2,R3,R1,R4
P031,page-1,page-6,page-4,page-2,R3,R4,R2,R1
P032,page-6,page-2,page-1,page-4,R4,R1,R3,R2
P033,page-3,page-5,page-1,page-6,R1,R2,R4,R3
P034,page-5,page-6,page-3,page-1,R2,R3,R1,R4
P035,page-6,page-1,page-5,page-3,R3,R4,R2,R1
P036,page-1,page-3,page-6,page-5,R4,R1,R3,R2
P037,page-6,page-1,page-4,page-3,R1,R2,R4,R3
P038,page-1,page-3,page-6,page-4,R2,R3,R1,R4
P039,page-3,page-4,page-1,page-6,R3,R4,R2,R1
P040,page-4,page-6,page-3,page-1,R4,R1,R3,R2
P041,page-4,page-3,page-2,page-5,R1,R2,R4,R3
P042,page-3,page-5,page-4,page-2,R2,R3,R1,R4
P043,page-5,page-2,page-3,page-4,R3,R4,R2,R1
P044,page-2,page-4,page-5,page-3,R4,R1,R3,R2
P045,page-5,page-6,page-3,page-2,R1,R2,R4,R3
P046,page-6,page-2,page-5,page-3,R2,R3,R1,R4
P047,page-2,page-3,page-6,page-5,R3,R4,R2,R1
P048,page-3,page-5,page-2,page-6,R4,R1,R3,R2